TCode,TCode Description
QV01,Create quality assurance agreement
QV02,Change quality assurance agreement
QV03,Display Quality Assurance Agreement
QV04,Find Quality Assurance Agreement
QV11,Create technical delivery terms
QV12,Change technical delivery terms
QV13,Display technical delivery terms
QV14,Search technical terms of delivery
QV21,Create QA agreement (DocType Q03)
QV22,Change Q-agreement (doc. type Q03)
QV23,Display Q-agreement (doc. type Q03)
QV24,Find Q-agreement (doc. type Q03)
QV31,Create Q-spec. (doc.type Q04)
QV32,Change Q-specification (docType Q04)
QV33,Displ. Q-specification (docType Q04)
QV34,Find Q-specification (doc. type Q04)
QV51,Create Control for QM in SD
QV52,Change Control for QM in SD
QV53,Display Control for QM in SD
QVM1,Inspection Lots Without Completion
QVM2,Inspection Lots with Open Quantities
QVM3,Lots Without Usage Decision
QZ00,Quality Certificates
R3A1,Customizing Events
RAAOE,Launch Analysis Office Excel WB
RAAOE_CLIENT,SAP Analysis for Microsoft Excel
RAAOP,Launch Analysis Office PowerPoint
RADKFCHK,Accessibility of Archive Files
RAEP1,Procedure for Single Records in MRA
RAEP1_KFSET,Calculate Market Risk Key Figures
RAEP1_VT_OLD,Procedure for Single Records in MRA
RAEP2,Procedure for Final Results: RA
RAIDIT_DEPR,Obsolete
RARCCOA1,Generate CO-OM Table Analysis
RARCCOA2,Analyze CO-OM Table Analysis
RARCCOA3,CO-OM Table Analysis: Periods
RARCCOA5,Simulation of CO line item summariz.
RARCCOAA,Table Analysis for CO_ALLO_ST
RARDB1,RDB: Archive Single Records
RARDB2,Delete Archived Single Records
RASRPDEL,Reorganization Single Records Proc.
RBDAPP01,Variant for RBDAPP01
RBDAUD01,Statistical Evaluations for AL
RBDCONCH,Variant for RBDCONCH
RBDCONCH_BCE,Consistency Check with WF Connection
RBDCPCLR,Variant for RBDCPCLR
RBDMANI2,Variant for RBDMANI2
RBDMIDOC,Variant for RBDMIDOC
RBDMOIND,Variant for RBDMOIND
RBDSER01,Variant for RBDSER01
RBDSTATE,Variant for RBDSTATE
RBPCT,List of Customer Contacts
RBT_ENH_ACT,Update of Indirect Sales
RBT_ENH_CHECK,Check Variable Key
RBT_ENH_GEN,Generation of the Update
RBT_ENH_PLAN,Update of Indirect Planning Data
RBT_ENH_REBUILD,Reorganization of Infostructure S469
RBT_ENH_SIMULATE,Comparison of Info Structure S469
RBT_ENH_VB3,Comparison: Bill. Docs and Stats
RBT_ENH_VB7,Settlement Extended Rebate Agreement
RBT_ENH_VB8,List of Rebate Agreements
RC01_FICA,Comparison FI-FM for FI-CA Data
RCA00,Edit Generic Transaction
RCA01,Create Risk Object
RCA02,Change Risk Object
RCA03,Display Risk Object
RCA04,Copy Risk Object
RCA06,Delete Risk Object
RCC00,Configuration Menu for Risk Objects
RCC01,RO Control: Applications
RCC02,RO Control: Field Groups
RCC03,RO Control: Views
RCC04,RO Control: Sections
RCC05,RO Control: Screens
RCC06,RO Control: Screen Sequences
RCC07,RO Control: Events
RCC08,RO Control: Standard Functions
RCC09,RO Control: Additional Functions
RCC0G,RT Control: Tables
RCC10,RO Control: Search Help
RCC11,RO Control: Assign DB Screen
RCC12,RO Control: Modification Criteria
RCC15,RO Control: Application Transaction
RCC18,RO Control: Activities
RCC19,RO Control: Field Mod. per Act. Cat.
RCC20,Authorization Types
RCC23,RO Control: Data Sets
RCCFM,RT Control: GFORM Modification
RCCF_CUST,RCCF: Edit Destinations
RCCF_LOG,RCCF: Log Display
RCCF_PARAM,RCCF: Settings for Experts
RCCF_SESSION,RCCF: Display Active Session
RCCF_VERSION,RCCF: Version Display
RCCG2,Change trans. form
RCCG3,Display Transaction Form
RCCMREP01,Organization/Agent Time Report
RCCMREP02,Organization/Agent Call Vol. (DNIS)
RCCMREP03,Agent Activities
RCCMREP04,Agent Profile Report
RCCMREP05,Agent Profile Overview
RCCMREP06,PD Organization Profile - Detail
RCCMREP07,Document Flow Report
RCC_CUST,RCCF: Edit Destinations
RCC_LOG,RCCF: Log Display
RCC_PARAM,RCCF: Settings for Experts
RCC_SECUREFUNC,RCCF: Secure Functions
RCC_SESSION,RCCF: Display Active Session
RCC_VERSION,RCCF: Version Display
RCDEF,Definition of Risk Object
RCDEF_OLD,Definition of Risk Object
RCJCLMIG,Conversion report for free charact.
RCMPROACT2,Start RCMPROACT2
RCNPRECP,Activation of ECP Plan Versions
RCOD_CONNECTIVITY,ERP Connectivity Report
RCOD_E2E_CONNECT,Check E2E Connectivity from ERP
RCOPCA_VPROV,Generate Virtual InfoProvider PCA
RCP02,Dummy Recipe Transaction for EH&S
RCP03,Dummy Recipe Transaction for EH&S
RCPOTPT,RMS-RCP: Recipe Output
RCPQ_CONNECTIVITY,CPQ Connectivity Report
RCP_NR,Maintain Number Ranges for Vers.
RCP_PPMIG,RMS-RCP: Process Parameter Migration
RCV_DYN_REC_DET_HDS,Rules for Dynamic Recipient Determ.
RDART_MERGE,Merge SAFT-PT files for Portugal
RDCA,Send Vendor Documents
RDCA_WIZ,Evaluate Vendor Document Interface
RDDDDATC_AUDIT_DISP,View
RDDPRCHK_AUDIT,Customer Tables without Log
RDDPRCHK_TODO,Check Table Logging
RDDPRCHK_TRANSFER,Transfer for Log Flag Comments
RDDTDDAT_BCE,Check Table Logging
RDMBBY01,Create Bonus Buy
RDMBBY02,Change Bonus Buy
RDMBBY03,Display Bonus Buy
RDMBBY06,Delete Bonus Buy
RDMBBYANALYSE01,Display Bonus Buys for Promotion
RDMBBYCHECK,Check Bonus Buys
RDMBBYCOP2,Copy Bonus Buy
RDMBBYCOPY,Copy Bonus Buy
RDMBBYDEL2,Deletion of Bonus Buy
RDMBBYDELE,Delete Bonus Buy
RDMBBYMATLIST,List of Bonus buy for material
RDMBBYNR01,Number Range Maintenance: RDM_BBYNR
RDMBBYSTCH,Status Change
RDMCHG,Price Optimization: Change Case
RDMINI,Price Optimization: Initialization
RDMMAN,Price Optimization: Manual Request
RDMREO,Price Opt: Confirm. Change Pointer
RDMSEL,Price Opt.: Maint. Selection Restrns
RDM_BBY_REQNR,Define Requirements for Bonus Buy
RDM_SLG1_ALL,Inbound Processing of all Protocols
RDM_SLG1_ALL_OUT,Outbound Processing of all Logs
RDM_SLG1_CHG_OUT,Log Change Messages
RDM_SLG1_INIT_OUT,Initial Data Transfer
RDM_SLG1_INTERNAL,Only for internal use
RDM_SLG1_MAN_OUT,Logs: Manual Selection
RDM_SLG1_MD,Application Log Markdown Optimiztn
RDM_SLG1_PRICE,Application Log - Price Optimization
RDM_SLG1_PROMO,Application Log - Promo Optimization
RDM_SM37_PROMO,Job Overview Price Activation -Promo
RDPT1,List of Redemption Schedule Sets
RDPT2,List of Redemption Schedules
RDPT3,Delete Redemption Schedule Sets
RDPT4,Delete Redemption Schedules
RDPT_FACTOR,Edit Drawing Factors
RDSV_GAPS_FI,FI Document Number Gaps
RDSV_GAPS_FICA,FI-CA Signature ODN Number Gaps
RDSV_GAPS_SD,SD Document Number Gaps
RDSV_SIGN_FI,FI Generate Digital Signature
RDSV_SIGN_FICA,FI-CA Generate Digital Signature
RDSV_SIGN_SD,SD Generate Digital Signature
RE80,RE80: RE Navigator
REACTIVATE_CDS_CACHE,Reactivation of CDS View Cache
REAJADJMCONTROL,Adjustment Control
REAJADJMCTRLRULE,Adjustment Control Rule
REAJADJMRULECTRLRULE,Adjustment Rule and Control Rule
REAJADJMVAR,Variables for Adjustment Control
REAJAHCN,Adjustments on Contracts
REAJAHRO,Adjustments on Rental Objects
REAJAHSCSE,Service Charge Settlemt Adjustments
REAJAT,Edit Adjustment Measure
REAJATAR,Archive Adjustment Measures
REAJATARE,Display Adjustment Measures(Archive)
REAJATCHECK,Mass Check: Adjustment Measures
REAJATCOSTS,Costs Item Group for Rule
REAJATRP,Change Pers.Resp: Adjustment Measure
REAJBLREAS,Reasons for Adjustment Locks
REAJCEAEXPMC,Mass Change of Current Expenses
REAJCG,Edit Comparative Group of Apartments
REAJCG0001,CG: Applications
REAJCG0002,CG: Field Groups
REAJCG0003,CG: Views
REAJCG0004,CG: Sections
REAJCG0005,CG: Screens
REAJCG0006,CG: Screen Sequences
REAJCG0007,CG: Events
REAJCG0008,CG: CUA Standard Functions
REAJCG0009,CG: CUA Additional Functions
REAJCG0011,CG: Assignment Screen Fld->DB Field
REAJCG0012,CG: Field Modification Criteria
REAJCG0016,CG: Tables
REAJCG0017,CG: External Applications
REAJCG0018,CG: Activities
REAJCG0019,CG: Feldmod. per Activity (Control)
REAJCG0022,CG: Where-Used List: Structure
REAJCG0100,CG: Field Modification per Activity
REAJCG0102,CG: Authorization Types
REAJCG0103,CG: Field Groups for Authorization
REAJCG0104,CG: Screen Configuration
REAJCG0105,CG: Fld Mod. per Ext. Application
REAJCG0106,CG: Assignmt Object Part --> Memo ID
REAJCG0107,CG: Where-Used List: Views
REAJCGAR,Archive Comparative Groups
REAJCGARE,Display Comparative Groups (Archive)
REAJCGCHECK,Mass Check: Comparative Apartments
REAJCGRP,Change Pers.Resp: Comp. Apartments
REAJCH,Continue Adjustment
REAJCHCEA,Continue with Adjustments - CEA
REAJCHECKINDX,Check Unmaintained Index Points
REAJCOSTSGRP,Costs Item Group
REAJCOSTSPOS,Costs Item
REAJEDIT,Process Adjustments Directly
REAJEPCRTD,WB: Calc. Formula - Expense Item
REAJINDX,"Index Classes, Series and Points"
REAJINDXCONV,Index - Rebasing
REAJMAXINC,Adjustment Rule Capping Provisions
REAJMETH,Adjustment Method
REAJMETHCOMB,Combinable Adjustment Method
REAJPR,Specify Adjustments
REAJPRCEA,Specify Adjustments - CEA
REAJPRTASK,Determine Adjustments - TASK
REAJREASON,Adjustment reasons
REAJREBASEINDEX,Rebasing of Index Points
REAJRLRAAMT,Value Table for Rep. List of Rents
REAJRLRAVC,Maintenance of Rep. List of Rents
REAJRLRAVCST,Structure Maint. for Fixt./Fittings
REAJROAT,Assignment to Adjustment Measure
REAJROCG,Assignment to Comparative Group
REAJRULE,Adjustment Rules
REAJRULECOMB,Combinable Adjustment Rules
REAJRULECOMP,Comp. Apartment Adjustment Rule
REAJRULECOND,Adjustment Rule and Condition Type
REAJRULEINDX,Index Adjustment Rule
REAJRULERLRA,Rep.List of Rents Adjustment Rule
REAJRULETASK,Adjustment Measure Adjustment Rule
REAJRV,Reverse Adjustments
REAJRVCEA,Reverse Adjustments - CEA
REAJSH,Display Adjustments
REAJSHCEA,Display Adjustments - CEA
REASSIGN_ADMSERVICES,Reassignment of Admin ICF Services
REAT0001,AM: Applications
REAT0002,AM: Field Groups
REAT0003,AM: Views
REAT0004,AM: Sections
REAT0005,AM: Screens
REAT0006,AM: Screen Sequences
REAT0007,AM: Events
REAT0008,AM: CUA Standard Functions
REAT0009,AM: CUA Additional Functions
REAT0011,AM: Assignment Scrn Field->DB Field
REAT0012,AM: Field Modification Criteria
REAT0016,AM: Tables
REAT0017,AM: External Applications
REAT0018,AM: Activities
REAT0019,AM: Field Mod. per Activity (Contr)
REAT0022,AM: Where-Used List: Structure
REAT0100,AM: Field Modification per Activity
REAT0102,AM: Authorization Types
REAT0103,AM: Field Groups for Authorization
REAT0104,AM: Screen Configuration
REAT0105,AM: Field Modification per External
REAT0106,AM:Assignment Object Part --> MemoID
REAT0107,AM: Where-Used List: Views
REATFSVAR,Field Status Variant Adjust. Measure
REATFSVARFM,Field Modific. Field Status Variant
REATTYPE,Type of Adjustment Measure
REBDAO,Process Architectural Object
REBDAO0001,AO: Applications
REBDAO0002,AO: Field Groups
REBDAO0003,AO: Views
REBDAO0004,AO: Sections
REBDAO0005,AO: Screens
REBDAO0006,AO: Screen Sequences
REBDAO0007,AO: Events
REBDAO0008,AO: CUA Standard Functions
REBDAO0009,AO: CUA Additional Functions
REBDAO0010,AO: Matchcode
REBDAO0011,AO: Assgmt Screen Field->DB Field
REBDAO0012,AO: Field Modification Criteria
REBDAO0013,AO: Role Categories
REBDAO0014,AO: Role Category Groupings
REBDAO0016,AO: Tables
REBDAO0017,AO: External Applications
REBDAO0018,AO: Activities
REBDAO0019,AO:Fld Grouping per Activity(Contr.)
REBDAO0022,AO: Where-Used List: Structure
REBDAO0023,AO: Data Sets
REBDAO0100,AO: Field Modification per Activity
REBDAO0102,AO: Authorization Types
REBDAO0103,AO: Field Groups for Authorization
REBDAO0104,AO: Screen Configuration
REBDAO0105,AO: Field Grouping per Ext. Appl.
REBDAO0106,AO:Assignment Obj Part --> Notice ID
REBDAO0107,AO: Where-Used List: Views
REBDAOAR,Archive Architectural Objects
REBDAOARE,Display Arch. Objects (Archive)
REBDAOCHECK,Mass Check: Architect. Objects
REBDAORP,Change Person Resp.: Arch. Objects
REBDBE,Process Business Entity
REBDBE0001,BE: Applications
REBDBE0002,BE: Field Groups
REBDBE0003,BE: Views
REBDBE0004,BE: Sections
REBDBE0005,BE: Screens
REBDBE0006,BE: Screen Sequences
REBDBE0007,BE: Events
REBDBE0008,BE: Standard GUI Functions
REBDBE0009,BE: Additional GUI Functions
REBDBE0011,BE: Assignment Screen Fld to DB Fld
REBDBE0012,BE: Field Modification Criteria
REBDBE0013,BE: Role Categories
REBDBE0014,BE: Role Category Groupings
REBDBE0016,BE: Tables
REBDBE0017,BE: External Applications
REBDBE0018,BE: Activities
REBDBE0019,BE: Fld Modif. per Activity(Control)
REBDBE0022,BE: Where-Used List: Structure
REBDBE0100,BE: Field Modification per Activity
REBDBE0102,BE: Authorization Types
REBDBE0103,BE: Field Groups for Authorization
REBDBE0104,BE: Screen Configuration
REBDBE0105,BE: Field Modif per External Applic.
REBDBE0106,BE: Assignment Object Part -> NoteID
REBDBE0107,BE: Where-Used List: Views
REBDBEAR,Archive Business Entities
REBDBEARE,Display Business Entities (Archive)
REBDBU,Process Building
REBDBU0001,BU: Applications
REBDBU0002,BU: Field Groups
REBDBU0003,BU: Views
REBDBU0004,BU: Stages
REBDBU0005,BU: Screens
REBDBU0006,BU: Screen Sequences
REBDBU0007,BU: Events
REBDBU0008,BU: CUA Standard Functions
REBDBU0009,BU: CUA Additional Functions
REBDBU0011,BU: Assgmt Screen Field->DB Field
REBDBU0012,BU: Field Modification Criteria
REBDBU0013,BU: Role Categories
REBDBU0014,BU: Role Category Groupings
REBDBU0016,BU: Tables
REBDBU0017,BU: External Applications
REBDBU0018,BU: Activities
REBDBU0019,BU:Fld Grouping per Activity(Contr.)
REBDBU0022,BU: Where-Used List: Structure
REBDBU0100,BU: Field Modification per Activity
REBDBU0102,BU: Authorization Types
REBDBU0103,BU: Field Groups for Authorization
REBDBU0104,BU: Screen Configuration
REBDBU0105,BU: Fld Grouping Per External Appl.
REBDBU0106,BU:Assignment Obj Part --> Notice ID
REBDBU0107,BU: Where-Used List: Views
REBDBUAR,Archive Buildings
REBDBUARE,Display Buildings (Archive)
REBDCACHECK,Mass Check: Usage Objects
REBDCARP,Change Person Resp.: Usage Objects
REBDCOBJASSTYPE,Object Assignment Types
REBDCOBJASSUSED,Object Types for Obj. Assign. Types
REBDCOBJTYPEASS,Obj.Assignment Types per Object Type
REBDDEFPS,Definition of Pooled Space
REBDFIXFITCHAR,Fixt./Fittings Characteristics
REBDIFRS,IFRS: Mass Change of Contracts
REBDMSA,Maintain Measurement Types
REBDOCC,Occupancy Planning of Architecture
REBDOCCUSE,Occupancy Planning of Usage
REBDPR,Process Property
REBDPR0001,PR: Applications
REBDPR0002,PR: Field Groupings
REBDPR0003,PR: Views
REBDPR0004,PR: Stages
REBDPR0005,PR: Screens
REBDPR0006,PR: Screen sequences
REBDPR0007,PR: Events
REBDPR0008,PR: GUI Standard Functions
REBDPR0009,PR: GUI Additional Functions
REBDPR0011,PR:Assignment Screen Field->DB-Field
REBDPR0012,PR: Field Grouping Criteria
REBDPR0016,PR: Tables
REBDPR0017,PR: External Applications
REBDPR0018,PR: Activities
REBDPR0019,PR:Fld Grouping per Actvty (Control)
REBDPR0022,PR: Where-Used List: Structure
REBDPR0100,PR: Field Modification per Activity
REBDPR0102,PR: Authorization Types
REBDPR0103,PR: Field Groups for Authorization
REBDPR0104,PR: Screen Configuration
REBDPR0105,PR: Field Grouping Per Ext. Appl.
REBDPR0106,PR: Assign. Object Part --> NoticeID
REBDPR0107,PR: Where-Used List: Views
REBDPRAR,Archive Land
REBDPRARE,Display Land (Archive)
REBDRO,Process Rental Object
REBDRO0001,RO: Applications
REBDRO0002,RO: Field Groups
REBDRO0003,RO: Views
REBDRO0004,RO: Sections
REBDRO0005,RO: Screens
REBDRO0006,RO: Screen Sequences
REBDRO0007,RO: Events
REBDRO0008,RO: CUA Standard Functions
REBDRO0009,RO: CUA Additional Functions
REBDRO0011,RO: Assgmt Screen Field -> DB Field
REBDRO0012,RO: Field Modification Criteria
REBDRO0016,RO: Tables
REBDRO0017,RO: External Applications
REBDRO0018,RO: Activities
REBDRO0019,RO:Fld Grouping per Actvty (Control)
REBDRO0022,RO: Where-Used List: Structure
REBDRO0100,RO: Field Modification per Activity
REBDRO0102,RO: Authorization Types
REBDRO0103,RO: Field Groups for Authorization
REBDRO0104,RO: Screen Configuration
REBDRO0105,RO: Field Grouping per Ext. Appl.
REBDRO0106,RO: Assign. Object Part --> NoticeID
REBDRO0107,RO: Where-Used List: Views
REBDROAR,Archive Rental Objects
REBDROARE,Display Rental Objects (Archive)
REBDROCFAR,Archive Cash Flow of Rental Objects
REBDROCFARE,Display RO Cash Flow (Archive)
REBDRSRETURN,End Rental Spaces
REBDTIVBDMEASRO,Cust:Maint. Msrmnt Type per Usg Type
REBDTIVBDROFSTATUS,Cust: Maintain Field Grp per UsgType
REBFCR01,Generate Customizing Classes (TAB)
REBFCR03,Generate Table Buffer Classes
REBFCR04,Generate Update Modules
REBFCR05,Generate Business Object Types
REBFCR06,Generate Manager Object Types
REBFCR11,Template Classes for Generation
REBFCR12,Excluded Fields for Detailed Compar.
REBPZA,Applications
REBPZC,Role Types
REBPZD,Allowed Role Categories
REBPZE,BP grouping
REB_CONDTYPE,maintain rebate condition type
RECAAC,Allowed Object Types and Properties
RECAALVIMPORT,System Report ALV Variants
RECAALVTRANS,Transport RE ALV Variants
RECAARE,Archive Explorer
RECABDTSCR,Manager Subscreens in BDT
RECABT,Generate BDT Subscreen Containers
RECABUSOBJAPPLSTART,Start Business Object Display
RECACC,Check Customizing Settings
RECACDOBJREL,Change Doc. Objects per Object Type
RECACOLOR,Colors in the Application
RECACOLORTYPE,Types of Colors
RECACOPA,Parameters for Create with Template
RECACPROCESS,RE-FX: System Table Setting- Process
RECACPROCESSMODE,Processing Mode
RECACPROCESSSTEP,Process Step
RECACPROCESSTYPE,Process Type
RECACPROCSTEPABLE,Process Mode and Process Step
RECACUST,Display IMG for RE-FX
RECADUNNPAYPERF,Maintain: Perform Dunning and Paying
RECAECADJAE,Euro Changeover: Accrual Engine
RECAECADJAERE,Euro Changeover: Accrual Engine RE
RECAECADJAT,Euro Changeover: Round Measure
RECAECADJCF,Euro Changeover: Adjust Cash Flow
RECAECADJCFCN,Cash Flow - Contracts
RECAECADJCFRO,Cash Flow - Rental Objects
RECAECADJCN,Euro Changeover: Check Contracts
RECAECADJOF,Euro Changeover: Check Offers
RECAECADJRO,Euro Changeover: Check Rental Obj.
RECAGUICUST,System Settings: Interface
RECAIC,Icon Assignment
RECAICONFOR,Icon - Icon Area
RECAICONFORKEY,Icon Key for Icon Area
RECAINCPAYACT,Processing Type: Payment Transaction
RECAINCPAYALLOC,Maintain - Eval. Criterion Inc. Payt
